id,kind,title,path,url,role,current_or_superseded,effort,status,evidence_date,next_update,verified_source,sources,planned_output_path,details,snapshot.as_of,snapshot.description
CAT-A17,scenario suite,Phase 1 comparison v1,datasets/validation/catalyst/catalyst-phase1-comparison-v1.json,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352/datasets/validation/catalyst/catalyst-phase1-comparison-v1.json,evidence,Historical predecessor; superseded by reader-led v2 intent,CAT-E05,Older suite without reader-led reportMode and with old generated-catalog identity. Useful only to interpret retained runs.,2026-08-26,Keep clearly historical; do not reuse as a current Spark acceptance suite.,Local suite parse; run-config.template.json selects v2.,Local suite parse; run-config.template.json selects v2.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A18,rubric,Phase 1 human-readable reader rubric,datasets/validation/catalyst/catalyst-phase1-reader-rubric-v1.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-phase1-reader-rubric-v1.md,authority,Current evaluation rubric,CAT-E06,"Review request fulfillment, SQL/results against static reference, retained context, clarification/unsupported behavior, and limitations; no score, rank, or forced winner.",2026-08-26,Freeze the same reviewed rubric with the new comparison and record reader identity.,Local read lines 3-22.,Local read lines 3-22.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A19,run configuration,Comparison run configuration template,datasets/validation/catalyst/run-config.template.json,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/run-config.template.json,tooling,Current seed; contains stale comparison metadata,CAT-E04; CAT-E05; CAT-E06,"Selects v2 suite, output directory and rubric. Publication summary still claims independent per-answer query comparison; inspect and align with static-reference contract.",2026-08-26,Refresh source/schema/model identities and publication prose after scenario acceptance; freeze exact configuration for batch.,Local JSON parse; harness branch removed database connection configuration but stale surrounding text persists.,Local JSON parse; harness branch removed database connection configuration but stale surrounding text persists.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A20,runner,Catalyst notebook collection runner,harness/catalyst/notebook_validation.py,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/notebook_validation.py,tooling,Current runtime with partial cleanup,CAT-E04,"Branch removes direct PostgreSQL execution classes/CLI wiring; legacy gold-check requirements, result matching structures, and stale emitted rationale remain.",2026-08-27,"Complete simplification with focused tests; exact ready SQL executes once through Catalyst, other outcomes execute none.",Recovered branch lines 1283-1303 and 2858-2861; root fetched same remote excerpts.,Recovered branch lines 1283-1303 and 2858-2861; root fetched same remote excerpts.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A21,command wrapper,Comparison run/resume/review/publish command,scripts/catalyst-comparison.sh,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/scripts/catalyst-comparison.sh,tooling,Current operator command; integration drift to fix,CAT-E04; CAT-E06,"Orchestrates run, resume, prepare-review, finish. Recovered script imports postgres_dsn although branch run_config removed that function; verify/fix before launch.",2026-09-06,Exercise read-only command/config resolution against latest branch before any paid collection; align retired helper import.,"Local/recovered script lines 23-38, branch run_config removal; root notified for latest-head verification.","Local/recovered script lines 23-38, branch run_config removal; root notified for latest-head verification.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A22,reader tooling,Full-context reader package and attachment validation,harness/catalyst/reader_review.py,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/reader_review.py,tooling,Current; must be validated with simplified runner,CAT-E04; CAT-E06,Prepares reader-review-input.json from complete evidence and frozen rubric; attached prose review cites exact input digest.,2026-08-26,"Confirm simplified evidence still carries full conversation, context, rows/error, static references and provenance.","Local read lines 20-93, 96-120; prepare-catalyst-reader-review.py wrapper.","Local read lines 20-93, 96-120; prepare-catalyst-reader-review.py wrapper.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A23,report/dashboard renderer,Phase 1 full-evidence comparison report,harness/catalyst/phase1_report.py,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/phase1_report.py,tooling,Current renderer; inherited old factual-check presentation remains,CAT-E04; CAT-E06,"Report generator exists, not evidence that a new Spark report exists. Old automatic matched/differed and PostgreSQL wording remain in inspected baseline.",2026-08-27,"Remove retired automatic factual verdicts, retain valid collection facts and complete reader rationale; render new batch report only after collection.",Local phase1_report.py lines 72-89; branch diff removes one old discovery line rather than all matching presentation.,Local phase1_report.py lines 72-89; branch diff removes one old discovery line rather than all matching presentation.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A24,operational dashboard,Validation run dashboard,scripts/validate-dashboard.py,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/scripts/validate-dashboard.py,tooling,Current shared operational surface,CAT-E04; CAT-E06,Discovers Catalyst run folders and shows progress/detail at default port 8099. Operational collection dashboard is distinct from Superset product dashboards and published reader report.,2026-09-06,Check compatibility with simplified events and source terminology when runner changes; show latest actual run identity.,"Code lines 4, 56-86, 378-383, 415-451, 830.","Code lines 4, 56-86, 378-383, 415-451, 830.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A25,target artifact,New Spark comparison evidence directory,Expected future output: artifacts/catalyst-notebook-validation/<new-run-id>,,evidence,Planned output; not yet produced,CAT-E06,"Expected output: manifest, frozen suite/config/rubric, events, SQL, rows/errors, conversation/model context, reader-review-input and attached reader review.",2026-09-06,Create only after source/reference acceptance and complete one suite per selected team; report incomplete collection honestly.,scripts/catalyst-comparison.sh:13-15; reader_review.py:13-79; program-roadmap.md Phase 1 completion.,scripts/catalyst-comparison.sh:13-15; reader_review.py:13-79; program-roadmap.md Phase 1 completion.,artifacts/catalyst-notebook-validation/<new-run-id>,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A26,target artifact,Published Phase 1 reader report and evidence links,,https://reports.openclinai.org/,publication,Planned Spark deliverable; no current Spark comparison established,CAT-E06,Reports tooling/publication index exists. No new accepted three-team Spark comparison was found in current work; publishing a demo is not this deliverable.,2026-09-06,"Publish report plus linked evidence after one full-context reader pass, then owner review.",Implementation-plan.md:331-349; comparison.sh:95-106; root owns current public index verification.,Implementation-plan.md:331-349; comparison.sh:95-106; root owns current public index verification.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A27,test fixture,Notebook regression fixture t094,datasets/validation/catalyst/catalyst-notebook-t094-v1.json,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-notebook-t094-v1.json,tooling,Regression fixture; not model comparison evidence,CAT-E04,"Spark branch updates frozen identities, and one harness smoke retained Spark missing-table error for retired reference SQL. Useful collection regression, not proof model answered correctly.",2026-08-27,Repair only still-relevant fixture assertions during harness cleanup; preserve old recorded errors as observations.,Branch commits 7e5a62c and Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3120 (supporting notebook smoke account).,Branch commits 7e5a62c and Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3120 (supporting notebook smoke account).,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A28,contracts,Feature 008 wire and publication contracts,specs/008-catalyst-query-workbench/contracts/README.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/contracts/README.md,tooling,Current consumer schemas; index text stale,CAT-E02; CAT-E04; CAT-E08,"Contract copies serve runtime consumers; README still describes PostgreSQL-only, judge and repetition formats. Spark branch changed target contracts and receipt reconciliation field.",2026-08-27,Verify paired contract copies at reviewed head; change schemas with consumers and refresh index wording.,Contract README lines 3-15; Catalyst 32ccbd2 import receipt commit; root exact remote head.,Contract README lines 3-15; Catalyst 32ccbd2 import receipt commit; root exact remote head.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A29,test fixture,Superset five-family bundle fixture,,https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/tests/fixtures/superset-6.1/fixture.json,tooling,Current branch fixture; not owner acceptance,CAT-E02; CAT-E08,Native bundle fixture covers accepted visualization families; branch adjusts Spark connection settings and expected assets.,2026-08-27,Run focused bundle/import tests at exact revised head and distinguish them from visual acceptance.,"Catalyst diff 75442c2..32ccbd2 includes fixture.json, generate_fixture.py, and bundled zip.","Catalyst diff 75442c2..32ccbd2 includes fixture.json, generate_fixture.py, and bundled zip.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A30,demo test,FHIR-to-dashboard real browser workflow,,https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/catalyst-ui/e2e/fhir-to-dashboard-demo.spec.ts,evidence,Current demonstrated workflow on branch,CAT-E09,"Historical live Playwright run passed 3.6 minutes with seven act screenshots: FHIR configuration, incremental run, warehouse, count, refinement, bundle and Superset.",2026-08-27,Recover exact script and recording evidence; refresh only when changes affect path. Keep Phase 1/3 owner acceptance separate.,Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3620 (supporting browser proof); root fetched new spec at live remote head.,Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3620 (supporting browser proof); root fetched new spec at live remote head.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A31,video timeline,FHIR-to-dashboard demo cut timeline,,https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/catalyst-ui/e2e/fhir-to-dashboard-demo.timeline.json,tooling,Current branch recording recipe,CAT-E09,"Measured cut yields 1:41 from 5:21 browser capture, with title/section cards and accelerated model waits.",2026-08-27,Keep timeline tied to exact raw capture and code revision when recording a new version.,Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 lines 3814 and 3985 (supporting timeline and push evidence).,Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 lines 3814 and 3985 (supporting timeline and push evidence).,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A32,recording guide,Demo-video capture and publishing guide,specs/demo-video-recording-guide.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/demo-video-recording-guide.md,tooling,Current guide; remote newer than local main,CAT-E09,"Explains Playwright capture, authored timeline, video renderer, distinct asset names, and independent landing/canvas consumers. Later branch adds which-spec table naming new full FHIR path.",2026-08-27,Use latest remote guide; preserve raw capture before next run and update both public consumers on a new cut.,Local lines 21-86; later guide commit 11d9d59 and Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3657 (supporting).,Local lines 21-86; later guide commit 11d9d59 and Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3657 (supporting).,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A33,published video,FHIR Data Pipes to Catalyst to Superset recording,,https://catalyst.openelis-global.org/media/catalyst-fhir-to-dashboard-demo-20260827.mp4,publication,Current latest recorded Spark demo; live reachability handled by root,CAT-E09,1:41 edited recording; tool-confirmed upload/public response on August 27; former local scratchpad video and screenshots missing on recovered machine.,2026-08-27,Retain reachable media as historical evidence; recover source recipe from remote before re-recording.,Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3985 (supporting publication output); scratchpad was absent on 2026-09-06.,Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3985 (supporting publication output); scratchpad was absent on 2026-09-06.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A34,public canvas,Catalyst demo canvas,specs/artifacts/canvases/catalyst-demos.canvas.tsx,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/canvases/catalyst-demos.canvas.tsx,publication,Current navigation surface; stale content,CAT-E01; CAT-E09,Inspected canvas still embeds Aug25 OpenELIS recording and says generic/Spark not implemented; conflicts with Aug27 published landing page.,2026-09-06,Align selected recording and status with reviewed branch while identifying old recording as historical; update alongside landing consumer.,"Local lines 38-49, 100-113; recording guide lines 76-86; no canvas change in later session publication.","Local lines 38-49, 100-113; recording guide lines 76-86; no canvas change in later session publication.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A35,session evidence,Spark remediation and later demo/publication work transcript,Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 (supporting evidence),,evidence,Historical evidence; not product authority,CAT-E01; CAT-E02; CAT-E09,"Preserves later commit pushes, real browser test output, visual review statements and upload verification absent from recovered branch objects.",2026-08-27,Keep linked as recovery evidence; replace historical-only claims with exact remote code and live checks where practical.,Read lines 3120-3987 on 2026-09-06.,Read lines 3120-3987 on 2026-09-06.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A36,runtime receipt,Retained successful Spark Superset import receipt,targets/catalyst/runtime/superset/receipts/latest/1ab809bea8ad2229b473ad95672f9d08eaf4b21dabda411b31c97fa49890db1d.json,,evidence,Historical runtime evidence,CAT-E02; CAT-E09,"Imported receipt finished 2026-08-27T09:59:13.661Z, before subsequent browser demo. A successful receipt proves importer result, not current service health or full dashboard acceptance.",2026-08-27,Retain exact receipt and related bundle when recovering evidence; inspect latest receipts for future runs.,Local receipt JSON read 2026-09-06.,Local receipt JSON read 2026-09-06.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CLIN-A01,roadmap or supporting authority,clinical-ai-validation-harness,README.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/README.md#L72,program-index,,,Milestone table is an index; later approved product roadmaps control architecture.,2026-08-26T20:07:14-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Milestone table is an index; later approved product roadmaps control architecture.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CLIN-A02,roadmap or supporting authority,OpenMRS Dual-Provider Foundational Parity Roadmap,specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md#L16,requirement-authority,,,requirement authority,2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CLIN-A03,roadmap or supporting authority,OpenMRS Dual-Provider Foundational Parity Roadmap Status,specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md#L20,status-authority,,,Current-boundary summary is stale relative to Aug 6 source pins and later merges.,2026-08-06T17:54:38-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Current-boundary summary is stale relative to Aug 6 source pins and later merges.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
