id,kind,title,path,url,role,current_or_superseded,effort,status,evidence_date,next_update,verified_source,sources,snapshot.as_of,snapshot.description
CLIN-A02,roadmap or supporting authority,OpenMRS Dual-Provider Foundational Parity Roadmap,specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md#L16,requirement-authority,,,requirement authority,2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A03,roadmap or supporting authority,OpenMRS Dual-Provider Foundational Parity Roadmap Status,specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md#L20,status-authority,,,Current-boundary summary is stale relative to Aug 6 source pins and later merges.,2026-08-06T17:54:38-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Current-boundary summary is stale relative to Aug 6 source pins and later merges.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A04,roadmap or supporting authority,Dual-Provider Conformance Contract,specs/artifacts/planning/openmrs-dual-provider-conformance-contract.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/openmrs-dual-provider-conformance-contract.md#L69,requirement-authority,,,requirement authority,2026-08-06T17:54:38-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A05,roadmap or supporting authority,Dual-Provider Repository and Upstream Inventory,specs/artifacts/planning/openmrs-dual-provider-upstream-inventory.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/openmrs-dual-provider-upstream-inventory.md#L128,historical-upstream-disposition,,,Last recorded integration/publication heads are older than current pins; use live GitHub for current state.,2026-08-06T17:54:38-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Last recorded integration/publication heads are older than current pins; use live GitHub for current state.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A06,roadmap or supporting authority,clinical-ai-validation-harness Constitution,.specify/memory/constitution.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/.specify/memory/constitution.md#L30,governance-authority,,,governance authority,2026-05-12T21:55:34-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A07,roadmap or supporting authority,roadmap.canvas.tsx,specs/roadmap.canvas.tsx,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/roadmap.canvas.tsx#L1,program-index,,,Several historical nodes describe replaced runtime designs; this is not an as-built status ledger.,2026-08-26T20:07:14-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Several historical nodes describe replaced runtime designs; this is not an as-built status ledger.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A08,roadmap or supporting authority,Feature 006: Validation Harness MVP — scenario × backend comparison with human adjudication,specs/006-validation-harness-mvp/spec.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/006-validation-harness-mvp/spec.md#L3,partially-current-spec,,,"Scenario, artifact and review model current; hub-only transport and several deferred items are stale against dual-provider code.",2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,"Scenario, artifact and review model current; hub-only transport and several deferred items are stale against dual-provider code.",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A09,roadmap or supporting authority,targets.yaml,harness/targets.yaml,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/harness/targets.yaml#L34,code-registry,,,"Registry is development/scaffolding inventory, not product acceptance.",2026-08-04T09:51:14-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,"Registry is development/scaffolding inventory, not product acceptance.",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A10,roadmap or supporting authority,verify_dual_provider_parity_gates.py,scripts/verify_dual_provider_parity_gates.py,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/scripts/verify_dual_provider_parity_gates.py#L703,executable-contract,,,executable contract,2026-08-06T17:54:38-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A11,roadmap or supporting authority,Cross-project metadata guide,specs/artifacts/planning/metadata-schema.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/metadata-schema.md#L104,schema-guide,,,Emitter-owned machine contracts outrank this explanatory Markdown.,2026-08-26T20:07:14-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Emitter-owned machine contracts outrank this explanatory Markdown.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A22,roadmap or supporting authority,Feature 005: med-agent-hub bridge — a chartsearchai-selectable in-process agent team,specs/005-med-agent-hub-bridge/spec.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/005-med-agent-hub-bridge/spec.md#L1,historical-spec,,,Early ReAct/endpoint-override narrative is superseded.,2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Early ReAct/endpoint-override narrative is superseded.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A28,roadmap or supporting authority,L3 — Validation spine: specs/006 as-built + close M2-F.1,specs/artifacts/lanes/L3-validation-spine-asbuilt.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/lanes/L3-validation-spine-asbuilt.md#L1,historical-lane,,,historical lane,2026-06-14T18:41:47+03:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A29,roadmap or supporting authority,Feature 004: Real Adapter Entrypoints — chartsearchai PoC,specs/004-real-adapter-entrypoints/spec.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/004-real-adapter-entrypoints/spec.md#L7,historical-spec,,,historical spec,2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A39,roadmap or supporting authority,Citation And Evidence UX Research Note,specs/artifacts/planning/citation-evidence-ux-research-2026-06-27.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/citation-evidence-ux-research-2026-06-27.md#L1,research-history,,,research history,2026-07-10T11:07:24-10:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A41,roadmap or supporting authority,Clinical Knowledge Base Service — Source Brief,specs/artifacts/planning/clinical-kb-brief.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/clinical-kb-brief.md#L3,superseded-design,,,superseded design,2026-08-04T13:20:44-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A42,roadmap or supporting authority,Clinical KB — scope overview (current → MVP target → F009),specs/artifacts/planning/kb-scope.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/kb-scope.md#L7,historical-scope,,,Its prose-only KB attribution claim is superseded by numbered KnowledgeReference records.,2026-06-01T16:15:03-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Its prose-only KB attribution claim is superseded by numbered KnowledgeReference records.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A45,roadmap or supporting authority,AMIE management-evaluation layer: detailed implementation plan,specs/artifacts/planning/amie-management-axes-plan.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/amie-management-axes-plan.md#L7,proposal,,,proposal,2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A46,roadmap or supporting authority,Scoring the low-resource target domain: harness extension plan,specs/artifacts/planning/amie-management-axes-brief.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/amie-management-axes-brief.md#L5,proposal,,,proposal,2026-07-10T11:07:24-10:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A50,roadmap or supporting authority,Reports-stack audit + one-frontend consolidation roadmap,specs/artifacts/planning/reports-frontend-consolidation-roadmap.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/reports-frontend-consolidation-roadmap.md#L1,historical-surface-design,,,historical surface design,2026-08-04T09:51:14-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A56,roadmap or supporting authority,Med-Agent-Hub Consolidation and Reliable Clinical Answer Roadmap,specs/artifacts/planning/hub-consolidation-roadmap.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/hub-consolidation-roadmap.md#L1,superseded-roadmap,,,superseded roadmap,2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A57,roadmap or supporting authority,Hub Consolidation Roadmap Status,specs/artifacts/planning/hub-consolidation-roadmap-status.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/planning/hub-consolidation-roadmap-status.md#L1,historical-status,,,historical status,2026-07-25T08:17:28-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A58,roadmap or supporting authority,Historical Development Roadmap - June program index,specs/artifacts/lanes/dev-roadmap.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/artifacts/lanes/dev-roadmap.md#L3,superseded-index,,,superseded index,2026-08-06T17:54:38-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A59,roadmap or supporting authority,Feature 007: File-based LLM config overrides (system prompt + params),specs/007-llm-config-overrides/spec.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/specs/007-llm-config-overrides/spec.md#L1,historical-spec,,,historical spec,2026-07-10T11:07:24-10:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
