id,title,status,intent,implemented,evidence,acceptance,next_deliverable,dependencies,sources,last_checked,implementation_owner,notes,related_pull_requests,mergeReview,snapshot.as_of,snapshot.description
clinical.medication_safety,Medication-safety honesty and approved content,Disclosure implemented; content work open,Show exactly which safety rules ran and where source/mapping coverage is limited.,"[""Provenance-aware checked/limited/unavailable states, strict package parsing, shared severity policy, visible source details and fail-closed completeness.""]","[""Aug5-6 source review/tests and preserved relay probe; no newly verified comprehensive clinical content acceptance.""]","Equivalent approved interaction content, CIEL mappings, exposure resolution and linked medication-knowledge/CDS work remain separately reviewed.","Close exact-head clean/limited/unavailable product proof, then define a reviewed content/mapping deliverable separately.","[""clinical.dual_provider"",""querystore.context""]","[""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""targets/med-agent-hub/server/drug_safety.py""]",2026-09-06,,[],"[""https://github.com/pmanko/med-agent-hub/pull/19""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
clinical.knowledge,Clinical reference knowledge,Embedded capability exists; old service plan superseded,Bring attributable clinical guidance into answers without confusing it with patient records.,"[""Pinned Hub kb.py uses SQLite FTS5/BM25 with keyword fallback, defaults to3 results, and returns source/version/url/license."",""Optional StaticKnowledgeSource turns results into numbered KnowledgeReference ledger records.""]","[""Current pinned kb.py inspected; broader standalone service not found in target registry.""]",Clinical-kb brief explicitly historical/superseded; README still links it as a future brief. Do not revive REST/MCP service or its old score thresholds as approved current scope.,Refresh the knowledge-content/coverage decision under current Hub source ownership before starting a separate service.,"[""clinical.hub"",""clinical.medication_safety""]","[""README.md"",""specs/artifacts/planning/clinical-kb-brief.md"",""specs/artifacts/planning/kb-scope.md"",""targets/med-agent-hub/server/kb.py""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.red_team,Broader safety and red-team evaluation,Planned,"Probe indirect instructions, disclosure and unsafe behavior across varied clinical contexts.","[""Current clinical temporal/medication safety contracts cover narrower implemented protections.""]","[""README and roadmap scope only; no formal013 folder.""]",Narrow deterministic clinical checks are not comprehensive red-team acceptance.,"A bounded, reviewed adversarial scenario suite and rationale-bearing results.","[""harness.validation_spine"",""harness.real_adapters"",""clinical.answer_evaluation""]","[""README.md"",""specs/roadmap.canvas.tsx"","".specify/memory/constitution.md""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.clinician_governance,Clinician review and change governance,Tools exist; review program planned,Make baseline changes and clinical acceptance traceable to named human reviewers.,"[""Constitution, change-record template, feedback and adjudication schemas/tools exist.""]","[""Source implementation verifies human review capability; no clinician outcome study or final product signoff inferred.""]",Clinical governance milestone remains planned; model-only judgments do not replace owner/clinical acceptance.,Name required reviewers and a concrete review packet for the accepted clinical product stage.,"[""harness.validation_spine"",""clinical.answer_evaluation"",""harness.red_team""]","[""README.md"","".specify/memory/constitution.md"",""specs/artifacts/planning/pccp-change-record-template.md"",""harness/validate/adjudicate.py""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
querystore.old_migration_testbed,Original QueryStore migration/parity milestone,Old premise superseded; scope needs reconciliation,Compare the old standalone ChartSearch retrieval with a future QueryStore path.,"[""QueryStore is already the current shared OpenMRS context surface."",""Modern parity instrument compares bundled vs Hub over that shared source.""]","[""Canonical contract and current code supersede the old canvas future-migration premise.""]","Do not call oldM8 complete without reconciling scope, or restart a migration already embodied in current architecture.",Replace stale migration wording with a current research question or explicitly close it as superseded.,"[""querystore.context"",""harness.retrieval_eval""]","[""README.md"",""specs/roadmap.canvas.tsx"",""specs/artifacts/planning/openmrs-dual-provider-conformance-contract.md""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.management_research,"Management, medication reasoning and multilingual research axes",Proposal; not committed work,Expand research beyond extracting facts toward localized guideline-grounded decisions.,[],"[""Detailed AMIE plan and brief exist; both explicitly planning/build scope under discussion.""]",No approved current build scope or completed implementation established by this assessment.,Reconfirm which research coordinate and reference artifacts deserve a bounded experiment after product proof.,"[""clinical.dual_provider"",""clinical.knowledge"",""harness.clinician_governance""]","[""specs/artifacts/planning/amie-management-axes-plan.md"",""specs/artifacts/planning/amie-management-axes-brief.md""]",2026-09-06,,"[""Dissertation/research directions are not synonymous with product implementation or harness infrastructure.""]",[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.reports,"Run dashboard, reports and feedback",Implemented across several surfaces,"Give operators live progress and readers complete, reviewable evidence.","[""Live dashboard8099, standalone clinical report, actor-specific judgments, human feedback/adjudication, report index and publishing wrappers.""]","[""Current source and tests;16 clinical report cards in tracked index; local saved archive and code-review videos survive.""]","A report existing/published is distinct from completeness, current revision proof and human acceptance.","Catalog every report with its run identity, method, completeness and review status; reconcile stale local copies and superseded claims.","[""harness.validation_spine""]","[""scripts/validate-dashboard.py"",""harness/validate/report.py"",""harness/report_shell/document.py"",""reports-index.json"",""specs/artifacts/planning/reports-frontend-consolidation-roadmap.md""]",2026-09-06,,[],"[""https://github.com/pmanko/clinical-ai-validation-harness/pull/87"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/86"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/82"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/81"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/76"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/72"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/66"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/43""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.public_surfaces,"Landing page, documentation, evidence archive and live demos",Published; source and deployed manifests differ,Give each public surface a distinct purpose and reproducible publication source.,"[""landing/ is front door; site/ renders docs; reports are generated evidence; OpenMRS demo requires runtime."",""Tracked publish scripts distinguish website/report publishing from stack operations.""]","[""41 public report, demo and documentation links returned HTTP 200 on 2026-09-06; functional runtime acceptance was not exercised."",""Deployed report manifest contains 19 entries, main contains 16; three Catalyst reports are deployed-only.""]",Old July audit assertions about unmerged landing or VM-only reports are outdated; do not treat them as current.,"Reconcile report manifest and family labels, preserve historical methods, and publish a reviewed current summary through existing flows.","[""harness.reports"",""clinical.dual_provider""]","[""README.md"",""landing/index.html"",""scripts/publish-landing.sh"",""scripts/publish-report.sh"","".github/workflows/pages.yml"",""specs/artifacts/planning/reports-frontend-consolidation-roadmap.md""]",2026-09-06,,[],"[""https://github.com/DIGI-UW/openelis-catalyst/pull/75"",""https://github.com/DIGI-UW/openelis-catalyst/pull/55"",""https://github.com/DIGI-UW/openelis-catalyst/pull/31"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/91"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/55"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/50""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
clinical.cache_efficiency,Context caching and prompt-prefix efficiency,Cache implemented; prefix reuse deferred,"Reduce repeated work while preserving freshness, authorization and clinical checks.","[""Revalidated source/patient/authorization-scoped ledger cache."",""No final-answer cache; no new disk KV persistence scope authorized.""]","[""Cache tests and earlier source proof; exact-head live cache proof remains open.""]",Owner deferred prefix-reuse proof July24; not a Signoff2 blocker.,Verify current ledger-cache behavior; revisit prefix reuse only if full_chart_stable becomes deployment priority.,"[""querystore.context"",""clinical.hub""]","[""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""targets/med-agent-hub/server/patient_ledger_cache.py""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.chatbot_expansion,openmrs_chatbot and cross-project expansion,Parked scaffolding,Reuse the common validation instrument for role-aware chat and handoffs.,"[""Pinned external chatbot repository; shared target metadata.""]","[""Registry marks validation surface unavailable and scaffolding_only.""]",No real-path validation or release acceptance established.,A declared real adapter and one source-grounded conversation proof before broad comparison.,"[""harness.validation_spine"",""harness.real_adapters"",""harness.red_team"",""harness.clinician_governance""]","[""README.md"",""harness/targets.yaml"",""specs/roadmap.canvas.tsx""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.retired_routes,"Retired endpoint overrides, hub-only consolidation and MCP/A2A work",Superseded,Retain history without allowing obsolete runtime plans to direct resumption.,[],"[""README explicitly retires old config/MCP work; active dual-provider roadmap supersedes hub-only architecture.""]",These are not pending deliverables.,Maintain explicit superseded links in the inventory; no implementation action. ,[],"[""README.md"",""specs/artifacts/planning/hub-consolidation-roadmap.md"",""specs/artifacts/planning/hub-consolidation-roadmap-status.md"",""specs/artifacts/lanes/dev-roadmap.md"",""specs/007-llm-config-overrides/spec.md""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E01,Maintain the merged Catalyst integration baseline,"Roadmap, Catalyst, Hub, and harness integration revisions merged; strict repository-line verification passes from harness main; live Spark acceptance remains open",,,"Feature 008 roadmap PR #109 merged as 6e0f3cf. Catalyst #79 merged as 4c6a46f and is pinned at main revision 47c80d9; Hub #24 merged as 75d0ff0; harness #100 merged as 2a75bcf. The final Catalyst, Hub, and harness hosted checks passed. Forty-one focused harness tests, eight landing tests, the source-pair gate, documentation checks, and the strict repository-line verification passed against the resulting baseline. Superseded child PR #108 was closed after its content was accounted for. Merge and CI evidence do not establish live product acceptance.","Preserve merged baseline separately from branch implementation, tests, historical live evidence and owner acceptance; retain established Catalyst-then-harness pin sequence.",Use the exact merged baseline for specification consolidation and product implementation; perform the dual-source live acceptance at the roadmap's local owner gate rather than reopening the integration history.,[],"[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-program-roadmap.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/tasks.md"",""https://github.com/DIGI-UW/openelis-catalyst/pull/79"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/100"",""Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 (supporting evidence)""]",2026-09-09,,,"[""https://github.com/DIGI-UW/openelis-catalyst/pull/79"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/100"",""https://github.com/DIGI-UW/openelis-catalyst/pull/78"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/99"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/98""]","{""findings"":[""Merged in harness 2a75bcf (PR #100): the comparison launcher uses the generic configuration resolver and the relay probe accepts keep-alive frames."",""Merged across Catalyst 47c80d9 and harness 2a75bcf: OpenELIS uses openelis and OpenMRS uses openmrs_hiv."",""Merged in Catalyst 47c80d9: the Spark release image is pinned and the timestamp and backslash regressions remain covered.""],""report"":""reviews/2026-09-06.md"",""result"":""The roadmap and compatible Catalyst, Hub, and harness integration baseline are merged with final checks passing. Live dual-source acceptance remains open for the roadmap's local owner gate."",""reviewedAt"":""2026-09-09""}",2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
