source_concept_id,source_uuid,target_uuid,reason
991377,0ae0f136-15f5-102d-96e4-000c29c2a5d7,991377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991956,0ae4e854-15f5-102d-96e4-000c29c2a5d7,991956AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991957,0ae4e94e-15f5-102d-96e4-000c29c2a5d7,991957AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991958,0ae4ea48-15f5-102d-96e4-000c29c2a5d7,991958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991959,0ae4eb42-15f5-102d-96e4-000c29c2a5d7,991959AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991960,0ae4ec32-15f5-102d-96e4-000c29c2a5d7,991960AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991961,0ae4ed36-15f5-102d-96e4-000c29c2a5d7,991961AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991962,0ae4ee26-15f5-102d-96e4-000c29c2a5d7,991962AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991963,0ae4ef20-15f5-102d-96e4-000c29c2a5d7,991963AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991964,0ae4f01a-15f5-102d-96e4-000c29c2a5d7,991964AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991965,0ae4f114-15f5-102d-96e4-000c29c2a5d7,991965AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991966,0ae4f20e-15f5-102d-96e4-000c29c2a5d7,991966AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991967,0ae4f308-15f5-102d-96e4-000c29c2a5d7,991967AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991968,0ae4f402-15f5-102d-96e4-000c29c2a5d7,991968AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991969,0ae4f4fc-15f5-102d-96e4-000c29c2a5d7,991969AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991970,0ae4f5f6-15f5-102d-96e4-000c29c2a5d7,991970AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991971,0ae4f6f0-15f5-102d-96e4-000c29c2a5d7,991971AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991972,0ae4f7ea-15f5-102d-96e4-000c29c2a5d7,991972AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991973,0ae5014a-15f5-102d-96e4-000c29c2a5d7,991973AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991974,0ae50244-15f5-102d-96e4-000c29c2a5d7,991974AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991975,0ae50334-15f5-102d-96e4-000c29c2a5d7,991975AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991976,0ae5042e-15f5-102d-96e4-000c29c2a5d7,991976AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991977,0ae50528-15f5-102d-96e4-000c29c2a5d7,991977AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991978,0ae50622-15f5-102d-96e4-000c29c2a5d7,991978AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991979,0ae5071c-15f5-102d-96e4-000c29c2a5d7,991979AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991980,0ae50816-15f5-102d-96e4-000c29c2a5d7,991980AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991981,0ae50910-15f5-102d-96e4-000c29c2a5d7,991981AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991982,0ae50a0a-15f5-102d-96e4-000c29c2a5d7,991982AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991983,0ae50b04-15f5-102d-96e4-000c29c2a5d7,991983AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991984,0ae50cb2-15f5-102d-96e4-000c29c2a5d7,991984AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991985,0ae50db6-15f5-102d-96e4-000c29c2a5d7,991985AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991986,0ae50eb0-15f5-102d-96e4-000c29c2a5d7,991986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991987,0ae50faa-15f5-102d-96e4-000c29c2a5d7,991987AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991988,0ae510a4-15f5-102d-96e4-000c29c2a5d7,991988AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991989,0ae5b374-15f5-102d-96e4-000c29c2a5d7,991989AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991990,0ae5b478-15f5-102d-96e4-000c29c2a5d7,991990AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991991,0ae5b57c-15f5-102d-96e4-000c29c2a5d7,991991AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991992,0ae5b676-15f5-102d-96e4-000c29c2a5d7,991992AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991993,0ae5b770-15f5-102d-96e4-000c29c2a5d7,991993AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991994,0ae5b874-15f5-102d-96e4-000c29c2a5d7,991994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991995,0ae5ba04-15f5-102d-96e4-000c29c2a5d7,991995AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991996,0ae5bb8a-15f5-102d-96e4-000c29c2a5d7,991996AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991997,0ae5bd06-15f5-102d-96e4-000c29c2a5d7,991997AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991998,0ae5bf2c-15f5-102d-96e4-000c29c2a5d7,991998AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
991999,0ae5c0f8-15f5-102d-96e4-000c29c2a5d7,991999AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
992000,0ae5c292-15f5-102d-96e4-000c29c2a5d7,992000AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
992001,0ae5c42c-15f5-102d-96e4-000c29c2a5d7,992001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
992002,0ae5c5bc-15f5-102d-96e4-000c29c2a5d7,992002AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
992003,0ae5c756-15f5-102d-96e4-000c29c2a5d7,992003AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
992007,0ae5cda0-15f5-102d-96e4-000c29c2a5d7,992007AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,uuid not found in target concept table; not clinically referenced
